TICKER,Classe,Categoria
MGLU3,Ações,Varejo
MILS3,Ações,Locação - Máquinas e Equip.
MMMC34 | MMM,Stocks,Industrials
MOVI3,Ações,Locação de Veículos
MRFG3,Ações,Alimentos
MSCD34 | MA,Stocks,Transaction & Payment Processing Services
MSFT34 | MSFT,Stocks,Technology
MULT3,Ações,Shopping Center
MUTC34 | MU,Stocks,Technology
MXRF11,Fundos Imobiliários,Recebíveis
MYPK3,Ações,Automotivo
NASD11 | QQQ,ETFs,EUA Tecnologia
NATU3,Ações,Produtos de Uso Pessoal
NEOE3,Ações,Energia
NFLX34 | NFLX,Stocks,Entertainment
NGRD3,Ações,Programas e Serviços
NIKE34 | NKE,Stocks,Consumer Cyclical
NNN,REITs,Retail
NTCO3,Ações,Produtos de Uso Pessoal
NVDC34 | NVDA,Stocks,Technology
ODPV3,Ações,Saúde
ORCL34 | ORCL,Stocks,Information Technology
P1LD34 | PLD,REITs,Industrial
P1SA34 | PSA,REITs,Self-Storage
PCAR3,Ações,Varejo
PCIP11,Fundos Imobiliários,Recebíveis
PEPB34 | PEP,Stocks,Consumer Defensive
PETR4,Ações,Petróleo. Gás e Biocombustíveis
PETZ3,Ações,Pet Shop
PGCO34 | PG,Stocks,Household & Personal Products
PMLL11,Fundos Imobiliários,Shopping Centers
PNVL3,Ações,Produtos Farmacêuticos
PORD11,Fundos Imobiliários,Recebíveis
PRIO3,Ações,"Petróleo, Gás e Biocombustíveis"
PSEC11,Fundos Imobiliários,Fundo de fundos
PSSA3,Ações,Seguros
PVBI11,Fundos Imobiliários,Lajes corporativas
QUAL3,Ações,Seguros
R1IN34 | O,REITs,Retail
RADL3,Ações,Produtos Farmacêuticos
RAIL3,Ações,Logística e Ferroviário
RAIZ4,Ações,Petróleo. Gás e Biocombustíveis.
RANI3,Ações,Papel e Celulose
RBRF11,Fundos Imobiliários,Fundo de fundos
RBRP11,Fundos Imobiliários,Híbrido
RBRR11,Fundos Imobiliários,Recebíveis
RBRX11,Fundos Imobiliários,Hedge Fund
RBRY11,Fundos Imobiliários,Recebíveis
RBVA11,Fundos Imobiliários,Híbrido
RCRB11,Fundos Imobiliários,Lajes Corporativas
RDOR3,Ações,Hospitais
RECR11,Fundos Imobiliários,Recebíveis
RECT11,Fundos Imobiliários,Lajes corporativas
